timestamp,unix_time,state,gaze_label,looking_at_screen,temperature,distance,loud
2026-03-15 11:54:08.877141,1773575648.877147,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:09.045164,1773575649.0451698,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:09.186616,1773575649.186622,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:09.347848,1773575649.347855,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:09.514273,1773575649.514283,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,25.3,15.0,1
2026-03-15 11:54:09.679063,1773575649.67907,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:09.844665,1773575649.844672,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:10.009001,1773575650.0090072,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:10.177260,1773575650.177266,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:10.347073,1773575650.3470788,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:10.516378,1773575650.516383,LOOKING_AT_SCREEN,LOOKING CENTER,1,25.3,63.3,0
2026-03-15 11:54:10.679474,1773575650.67948,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:10.844586,1773575650.844592,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:11.010324,1773575651.0103302,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:11.178679,1773575651.1786869,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:11.345199,1773575651.345205,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:11.516841,1773575651.5168471,LOOKING_AT_SCREEN,LOOKING CENTER,1,25.3,70.7,0
2026-03-15 11:54:11.677498,1773575651.6775072,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:11.845441,1773575651.845449,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:12.009410,1773575652.009418,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:12.176648,1773575652.176657,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:12.345541,1773575652.345547,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:12.510381,1773575652.510387,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,25.3,60.8,0
2026-03-15 11:54:12.679472,1773575652.67948,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:12.844066,1773575652.844073,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:13.004024,1773575653.00403,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:13.165338,1773575653.165343,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:13.327344,1773575653.32735,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:13.490332,1773575653.490338,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,25.3,12.7,0
2026-03-15 11:54:13.650721,1773575653.6507268,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:13.814868,1773575653.814875,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:13.981721,1773575653.981728,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:14.150813,1773575654.150822,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:14.317215,1773575654.317224,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:14.481237,1773575654.4812438,LOOKING_AT_SCREEN,LOOKING CENTER,1,25.3,7.3,0
2026-03-15 11:54:14.648480,1773575654.6484869,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:14.809327,1773575654.809333,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:14.944988,1773575654.944993,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:15.110443,1773575655.110452,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:15.274936,1773575655.274942,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:15.448690,1773575655.4486961,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,25.3,62.1,0
2026-03-15 11:54:15.614421,1773575655.6144261,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:15.768220,1773575655.768227,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:15.933209,1773575655.933215,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:16.098749,1773575656.098754,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:16.233616,1773575656.233623,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:16.395892,1773575656.3958988,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:16.558159,1773575656.558164,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,25.4,42.4,0
